星期1,星期2,星期3,星期4,星期5,星期6,星期7,time
,,"自然辩证法概论

2021—2022学年(春)第二学期(教二楼101
上课周次)",,,,,8:30~9:20
,,"自然辩证法概论

2021—2022学年(春)第二学期(教二楼101
上课周次)",,,,,9:20~10:10
,,"自然辩证法概论

2021—2022学年(春)第二学期(教二楼101
上课周次)",,,,,10:30~11:20
,,"自然辩证法概论

2021—2022学年(春)第二学期(教二楼101
上课周次)",,,,,11:20~12:10
"分子遗传学

2021—2022学年(春)第二学期(教二楼206
上课周次)","中国马克思主义与当代

2021—2022学年(春)第二学期(教一楼101
上课周次)","大数据科学

2021—2022学年(春)第二学期(教一楼114
上课周次)","分子遗传学

2021—2022学年(春)第二学期(教二楼206
上课周次)",,,,13:30~14:20
"分子遗传学

2021—2022学年(春)第二学期(教二楼206
上课周次)","中国马克思主义与当代

2021—2022学年(春)第二学期(教一楼101
上课周次)","大数据科学

2021—2022学年(春)第二学期(教一楼114
上课周次)","分子遗传学

2021—2022学年(春)第二学期(教二楼206
上课周次)",,,,14:20~15:10
"分子遗传学

2021—2022学年(春)第二学期(教二楼206
上课周次)","中国马克思主义与当代

2021—2022学年(春)第二学期(教一楼101
上课周次)",,"分子遗传学

2021—2022学年(春)第二学期(教二楼206
上课周次)",,,,15:30~16:20
,"中国马克思主义与当代

2021—2022学年(春)第二学期(教一楼101
上课周次)",,,,,,16:20~17:10
"深度学习

2021—2022学年(春)第二学期(教一楼101
上课周次)",,,,,,,18:10~19:00
"深度学习

2021—2022学年(春)第二学期(教一楼101
上课周次)",,"实用生物信息学（2）(图书馆145(机房)
上课周次)","中国法医史

2021—2022学年(春)第二学期(教二楼106
上课周次)",,,,19:00~19:50
"深度学习

2021—2022学年(春)第二学期(教一楼101
上课周次)",,"实用生物信息学（2）(图书馆145(机房)
上课周次)","中国法医史

2021—2022学年(春)第二学期(教二楼106
上课周次)",,,,20:10~21:00
,,"实用生物信息学（2）(图书馆145(机房)
上课周次)","中国法医史

2021—2022学年(春)第二学期(教二楼106
上课周次)",,,,21:00~21:50
